                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4783,                 4.0091,                 4.2657,                 1.5374,                0.00196,                0.84375,                0.19028,                0.12302,                0.00188,                 0.8125,                0.15818,                0.11328,                 1.5007,                 2.9902,                 4.4246,                 1.7938,                0.00022,                0.00022,                0.00022
                      2,                 1.2829,                 2.4576,                 3.1613,                 1.3397,                0.00203,                  0.875,                 0.2399,                 0.1184,                0.00203,                  0.875,                 0.1361,                  0.058,                 1.3253,                 3.7828,                 4.2404,                  1.475,             0.00045089,             0.00045089,             0.00045089
                      3,                 1.1678,                 2.1027,                 2.6785,                 1.2325,                0.00203,                  0.875,                0.43021,                 0.2577,                0.00203,                  0.875,                0.43037,                0.17861,                 1.1889,                 3.8917,                 3.8399,                 1.2865,             0.00067228,             0.00067228,             0.00067228
                      4,                 1.2121,                 2.2875,                 2.9561,                 1.2723,                0.00203,                  0.875,                0.03945,                0.00529,                0.00181,                0.78125,                0.03858,                0.00475,                 1.8393,                 4.9099,                 4.8849,                  2.005,             0.00088416,             0.00088416,             0.00088416
                      5,                 1.3211,                 2.2879,                 2.6801,                 1.4045,                0.63039,                0.40625,                0.53624,                0.30623,                0.58566,                  0.375,                0.50975,                0.22506,                 1.4822,                 3.2891,                 3.3515,                 1.4747,              0.0010865,              0.0010865,              0.0010865
                      6,                 1.2261,                 2.1115,                 2.2264,                 1.2381,                0.34188,                    0.5,                0.38248,                0.17262,                0.45191,                 0.3125,                0.30763,                0.12195,                 1.8747,                 6.9021,                 4.2685,                  2.532,              0.0012794,              0.0012794,              0.0012794
                      7,                 1.2494,                 2.1094,                  2.352,                 1.3103,                0.71523,                 0.3125,                0.37219,                0.24167,                0.71523,                 0.3125,                 0.3707,                0.19107,                 1.5433,                 4.7534,                 3.4117,                 1.6355,              0.0014628,              0.0014628,              0.0014628
                      8,                 1.2663,                 2.0721,                 2.3228,                 1.3052,                0.18905,                  0.125,                0.10116,                0.06915,                0.18905,                  0.125,                0.11119,                0.04985,                 1.8737,                 6.5054,                 3.4989,                 1.9372,              0.0016367,              0.0016367,              0.0016367
                      9,                 1.1337,                 1.9639,                 2.0587,                 1.1989,                0.31877,                0.40625,                0.29536,                0.19067,                0.31047,                0.40625,                0.29356,                0.14392,                 1.4302,                 4.1415,                 2.5852,                 1.7137,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2648,                 2.0941,                 2.0865,                 1.3228,                0.34578,                0.28125,                0.19824,                0.07977,                0.30298,                   0.25,                0.14425,                 0.0634,                 1.9397,                 7.4305,                 4.0767,                 2.0556,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3027,                 1.9318,                 1.9968,                 1.3611,                 0.8955,                 0.3125,                0.43736,                0.18782,                 0.8955,                 0.3125,                0.43857,                0.15563,                 1.6789,                 3.3816,                 2.5981,                 1.7945,               0.001604,               0.001604,               0.001604
                     12,                 1.2567,                 1.9071,                 1.8739,                 1.3238,                 0.3794,                0.40625,                0.34206,                0.22315,                 0.4089,                 0.4375,                0.36099,                 0.1751,                 1.5841,                  4.729,                 2.2225,                 1.6654,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2976,                 2.0731,                 1.9061,                 1.2748,                0.42198,                0.40625,                0.40983,                0.27768,                0.70886,                0.30479,                0.40792,                0.22389,                 1.2754,                 5.1083,                 2.3099,                 1.4928,              0.0015248,              0.0015248,              0.0015248
