filename,tumor
1 no.jpeg,no
10 no.jpg,no
10 no.jpg,no
11 no.jpg,no
11 no.jpg,no
12 no.jpg,no
12 no.jpg,no
13 no.jpg,no
13 no.jpg,no
14 no.jpg,no
14 no.jpg,no
15 no.jpg,no
15 no.jpg,no
17 no.jpg,no
17 no.jpg,no
18 no.jpg,no
18 no.jpg,no
19 no.jpg,no
19 no.jpg,no
2 no.jpeg,no
20 no.jpg,no
20 no.jpg,no
21 no.jpg,no
21 no.jpg,no
22 no.jpg,no
22 no.jpg,no
23 no.jpg,no
23 no.jpg,no
24 no.jpg,no
24 no.jpg,no
25 no.jpg,no
25 no.jpg,no
26 no.jpg,no
26 no.jpg,no
27 no.jpg,no
27 no.jpg,no
28 no.jpg,no
28 no.jpg,no
29 no.jpg,no
29 no.jpg,no
3 no.jpg,no
3 no.jpg,no
30 no.jpg,no
30 no.jpg,no
31 no.jpg,no
31 no.jpg,no
32 no.jpg,no
32 no.jpg,no
33 no.jpg,no
33 no.jpg,no
34 no.jpg,no
34 no.jpg,no
35 no.jpg,no
35 no.jpg,no
36 no.jpg,no
36 no.jpg,no
37 no.jpg,no
37 no.jpg,no
38 no.jpg,no
38 no.jpg,no
39 no.jpg,no
39 no.jpg,no
4 no.jpg,no
4 no.jpg,no
40 no.jpg,no
40 no.jpg,no
41 no.jpg,no
41 no.jpg,no
42 no.jpg,no
42 no.jpg,no
43 no.jpg,no
43 no.jpg,no
44no.jpg,no
44no.jpg,no
45 no.jpg,no
45 no.jpg,no
46 no.jpg,no
46 no.jpg,no
47 no.jpg,no
47 no.jpg,no
48 no.jpeg,no
49 no.jpg,no
49 no.jpg,no
5 no.jpg,no
5 no.jpg,no
50 no.jpg,no
50 no.jpg,no
6 no.jpg,no
6 no.jpg,no
7 no.jpg,no
7 no.jpg,no
8 no.jpg,no
8 no.jpg,no
9 no.jpg,no
9 no.jpg,no
N1.JPG,no
N1.JPG,no
N11.jpg,no
N11.jpg,no
N15.jpg,yes
N15.jpg,yes
N16.jpg,yes
N16.jpg,yes
N17.jpg,yes
N17.jpg,yes
N19.JPG,no
N19.JPG,no
N2.JPG,no
N2.JPG,no
N20.JPG,no
N20.JPG,no
N21.jpg,no
N21.jpg,no
N22.JPG,no
N22.JPG,no
N26.JPG,no
N26.JPG,no
N3.jpg,no
N3.jpg,no
N5.jpg,no
N5.jpg,no
N6.jpg,no
N6.jpg,no
no 1.jpg,no
no 1.jpg,no
no 10.jpg,no
no 10.jpg,no
no 100.jpg,no
no 100.jpg,no
no 2.jpg,no
no 2.jpg,no
no 3.jpg,no
no 3.jpg,no
no 4.jpg,no
no 4.jpg,no
no 5.jpeg,no
no 6.jpg,no
no 6.jpg,no
no 7.jpeg,no
no 8.jpg,no
no 8.jpg,no
no 89.jpg,no
no 89.jpg,no
no 9.png,no
no 9.png,no
no 90.jpg,no
no 90.jpg,no
no 91.jpeg,no
no 92.jpg,no
no 92.jpg,no
no 923.jpg,no
no 923.jpg,no
no 94.jpg,no
no 94.jpg,no
no 95.jpg,no
no 95.jpg,no
no 96.jpg,no
no 96.jpg,no
no 97.jpg,no
no 97.jpg,no
no 98.jpg,no
no 98.jpg,no
no 99.jpg,no
no 99.jpg,no
no.jpg,no
no.jpg,no
No11.jpg,no
No11.jpg,no
No12.jpg,no
No12.jpg,no
No13.jpg,no
No13.jpg,no
No14.jpg,no
No14.jpg,no
No15.jpg,no
No15.jpg,no
No16.jpg,no
No16.jpg,no
No17.jpg,no
No17.jpg,no
No18.jpg,no
No18.jpg,no
No19.jpg,no
No19.jpg,no
No20.jpg,no
No20.jpg,no
No21.jpg,no
No21.jpg,no
No22.jpg,no
No22.jpg,no
