                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7366,                 15.426,                 2.0141,                      0,                      0,                      0,                      0,                 3.0678,                    inf,                 3.5502,               0.068267,             0.00064762,             0.00064762
                      2,                 2.4572,                 5.7658,                 2.7851,                0.00078,                 0.0625,                0.00035,                  7e-05,                    nan,                    nan,                    nan,                 0.0356,              0.0013141,              0.0013141
                      3,                 2.7075,                 4.1886,                 3.0213,                0.00279,                 0.0625,                0.00151,                 0.0003,                    nan,                    nan,                    nan,               0.002932,              0.0019796,              0.0019796
                      4,                  2.573,                 4.0384,                 3.0288,                0.00279,                 0.0625,                0.00151,                 0.0003,                    nan,                    nan,                    nan,              0.0019969,              0.0019969,              0.0019969
                      5,                 2.3754,                 3.8056,                 2.9533,                0.00279,                 0.0625,                0.00151,                 0.0003,                    nan,                    nan,                    nan,              0.0019946,              0.0019946,              0.0019946
                      6,                 2.5023,                 3.7899,                 3.1777,                0.00279,                 0.0625,                0.00151,                 0.0003,                    nan,                    nan,                    nan,              0.0019915,              0.0019915,              0.0019915
                      7,                 2.2653,                 3.6515,                 2.9035,                0.00235,                 0.1875,                0.01293,                0.00195,                 3.4335,                 12.195,                  4.714,              0.0019878,              0.0019878,              0.0019878
                      8,                 2.3389,                 3.6823,                 2.9338,                0.00124,                  0.125,                0.00858,                0.00451,                 3.2634,                 4.0031,                 4.1277,              0.0019834,              0.0019834,              0.0019834
                      9,                  2.441,                 3.7278,                 2.9448,                0.00307,                    0.5,                0.00606,                0.00196,                 3.0332,                 4.2927,                  3.745,              0.0019784,              0.0019784,              0.0019784
                     10,                 2.4102,                 3.6742,                 2.9446,                0.00166,                 0.4375,                 0.0023,                0.00076,                 2.9071,                 5.2838,                 3.7359,              0.0019726,              0.0019726,              0.0019726
                     11,                 2.2665,                 3.4184,                 2.7917,                0.00394,                 0.6875,                 0.0187,                0.00439,                 2.8933,                  8.448,                 3.5321,              0.0019663,              0.0019663,              0.0019663
                     12,                 2.2461,                 3.3485,                 2.7537,                0.00844,                 0.4375,                0.00698,                 0.0023,                 2.4382,                 7.8534,                 4.0457,              0.0019592,              0.0019592,              0.0019592
                     13,                 2.2329,                  3.281,                 2.7717,                0.00785,                 0.1875,                0.00564,                0.00169,                 2.2325,                  43.38,                 3.5008,              0.0019515,              0.0019515,              0.0019515
