                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8697,                 10.121,                 2.5452,                0.00117,                 0.3125,                0.00079,                0.00016,                 4.0999,                    inf,                 5.1724,               0.068267,             0.00064762,             0.00064762
                      2,                 3.2336,                  9.036,                 3.7337,                0.00117,                 0.3125,                0.00079,                0.00016,                    nan,                    nan,                    nan,                 0.0356,              0.0013141,              0.0013141
                      3,                   3.41,                 3.8642,                 4.0632,                0.00117,                 0.3125,                0.00079,                0.00016,                    nan,                    nan,                    nan,               0.002932,              0.0019796,              0.0019796
                      4,                 3.2708,                 3.7219,                  3.932,                0.00117,                 0.3125,                0.00079,                0.00016,                    nan,                    nan,                    nan,              0.0019969,              0.0019969,              0.0019969
                      5,                 3.1969,                 4.1216,                 3.9341,                0.00117,                 0.3125,                0.00079,                0.00016,                    nan,                    nan,                    nan,              0.0019946,              0.0019946,              0.0019946
                      6,                 3.1043,                 3.4905,                 3.6717,                0.00117,                 0.3125,                0.00079,                0.00016,                    nan,                    nan,                    nan,              0.0019915,              0.0019915,              0.0019915
                      7,                 2.7451,                 3.3822,                 3.4571,                0.00117,                 0.3125,                0.00079,                0.00016,                    nan,                    nan,                    nan,              0.0019878,              0.0019878,              0.0019878
                      8,                 2.8284,                 3.2674,                 3.5839,                0.02848,                  0.125,                0.00761,                0.00121,                 4.1046,                 10.447,                 9.3033,              0.0019834,              0.0019834,              0.0019834
                      9,                 2.7281,                 2.9716,                 3.4222,                0.00257,                   0.25,                0.00198,                0.00085,                 4.3938,                    inf,                 117.14,              0.0019784,              0.0019784,              0.0019784
                     10,                 2.7162,                 2.9723,                  3.389,                 0.1174,                  0.125,                0.09328,                0.03786,                 3.5174,                 9.8435,                  6.979,              0.0019726,              0.0019726,              0.0019726
                     11,                    2.6,                  2.791,                 3.4396,                0.07047,                 0.1875,                 0.0519,                0.01777,                 3.0206,                 5.2827,                 4.2902,              0.0019663,              0.0019663,              0.0019663
