                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6816,                 10.618,                 1.9742,                 0.0053,                   0.25,                0.00501,                0.00114,                 3.1258,                 957.68,                 6.1205,             0.00064762,             0.00064762,             0.00064762
                      2,                 2.8272,                 10.757,                 2.8023,                 0.0053,                   0.25,                0.00501,                0.00114,                    nan,                    nan,                    nan,              0.0013078,              0.0013078,              0.0013078
                      3,                 3.0282,                 4.1581,                 3.1043,                 0.0053,                   0.25,                0.00501,                0.00114,                    nan,                    nan,                    nan,              0.0019613,              0.0019613,              0.0019613
                      4,                 2.8937,                 6.4618,                 3.0863,                 0.0053,                   0.25,                0.00501,                0.00114,                    nan,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.7075,                  4.027,                 2.9406,                 0.0053,                   0.25,                0.00501,                0.00114,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.6549,                 3.8704,                 2.9793,                 0.0053,                   0.25,                0.00501,                0.00114,                    nan,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.5692,                 3.7549,                  2.926,                0.00172,                 0.4375,                0.00497,                0.00103,                 3.1786,                 4.2221,                 3.4972,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.4634,                 3.7901,                 2.9272,                0.00172,                 0.4375,                0.00497,                0.00103,                 5.5907,                 11.354,                 94.313,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.3771,                 3.5102,                 2.8732,                0.01428,                  0.125,                 0.0042,                0.00069,                 3.7143,                 7.4916,                 72.792,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.3155,                 3.5601,                 2.8862,                0.07693,                   0.25,                0.06515,                0.01695,                 2.3042,                 4.4079,                 3.1122,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.4188,                 3.6666,                 2.8734,                0.00188,                 0.0625,                0.00173,                 0.0008,                 2.4287,                 12.202,                 3.2758,               0.001901,               0.001901,               0.001901
                     12,                 2.4633,                 3.7986,                 2.8848,                0.00208,                  0.625,                0.02733,                0.00598,                 2.5456,                 4.2231,                 3.1236,              0.0018911,              0.0018911,              0.0018911
                     13,                  2.314,                 3.5542,                 2.8424,                0.00443,                 0.4375,                0.01239,                0.00232,                 2.6627,                 4.9572,                 3.3367,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.2502,                 3.4085,                 2.7747,                0.00842,                    0.5,                0.01547,                0.00411,                 2.3771,                 3.7584,                 3.2062,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.2836,                 3.3921,                 2.8244,                 0.0028,                 0.5625,                0.00564,                0.00176,                 2.3987,                 3.9518,                 3.2144,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.1967,                 3.3569,                 2.7565,                0.01597,                 0.3125,                0.03283,                0.00529,                 2.4555,                 3.8247,                 3.1126,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.2489,                  3.187,                 2.8103,                0.08089,                 0.3125,                0.08468,                0.02699,                 2.2322,                 3.5794,                 3.0121,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.2278,                 3.1919,                 2.8537,                 0.0017,                  0.125,                0.00509,                0.00356,                 2.0846,                 4.2478,                 2.8062,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.2408,                 3.4548,                 2.8481,                0.25671,                 0.3125,                0.19308,                0.06361,                 1.9863,                 3.4131,                 2.7767,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.2326,                 3.3685,                 2.8119,                0.19753,                 0.1875,                0.12473,                0.03876,                 2.0976,                 3.5993,                 2.8793,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.1448,                 3.2429,                 2.7927,                0.05318,                 0.5625,                0.11101,                0.03452,                 1.9454,                 3.3251,                 2.7982,               0.001802,               0.001802,               0.001802
                     22,                 2.1122,                 3.2217,                 2.7708,                0.00488,                 0.9375,                0.12231,                0.05101,                 2.0423,                 2.9696,                 2.7734,              0.0017921,              0.0017921,              0.0017921
                     23,                 2.1067,                 3.1141,                 2.7721,                 0.1127,                    0.5,                0.11677,                0.04326,                 2.0844,                 3.0726,                 2.9278,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.1146,                 3.1068,                 2.7091,                0.06463,                 0.3125,                 0.1798,                0.07229,                 2.3036,                 4.1761,                 3.1202,              0.0017723,              0.0017723,              0.0017723
                     25,                  2.099,                 3.0028,                 2.8328,                0.36235,                  0.375,                0.34056,                0.11996,                 2.1926,                 3.9925,                 3.0389,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.2137,                 2.8996,                 2.7869,                0.31767,                  0.375,                0.29421,                0.09782,                 2.0545,                 3.4314,                 2.7835,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.1412,                 2.8957,                 2.7041,                0.27352,                0.44742,                0.36626,                0.11411,                 1.9606,                 2.9922,                 2.7637,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.1145,                 2.8249,                  2.681,                0.29465,                    0.5,                0.35242,                0.15506,                 2.0825,                 2.8707,                 2.7982,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.0501,                 2.7893,                 2.6922,                0.46873,                 0.3125,                0.32108,                0.14855,                 1.9934,                   2.73,                 2.7015,              0.0017228,              0.0017228,              0.0017228
                     30,                 2.0682,                 2.7991,                 2.7224,                0.19961,                0.26552,                0.22472,                0.11347,                 1.8739,                  3.086,                 2.6953,              0.0017129,              0.0017129,              0.0017129
                     31,                 2.0914,                  2.661,                 2.7412,                0.22565,                  0.375,                0.29147,                 0.1522,                 1.8472,                 2.7578,                  2.652,               0.001703,               0.001703,               0.001703
                     32,                  2.108,                 2.7402,                 2.6599,                0.32341,                 0.3125,                0.26245,                0.09818,                 1.9036,                 3.0434,                 2.6616,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.0416,                 2.6878,                 2.6002,                0.31987,                 0.4375,                0.25672,                0.12535,                  1.968,                 2.7699,                 2.7539,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.9832,                 2.5799,                 2.5405,                0.43871,                 0.4375,                 0.2894,                0.12389,                 1.9495,                 3.2041,                 2.7242,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.0255,                 2.5906,                 2.5833,                0.39068,                0.44098,                0.41991,                 0.1894,                 1.8514,                 2.5565,                 2.6553,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.9904,                 2.5398,                 2.5623,                 0.3724,                  0.375,                0.37539,                0.21674,                 1.7901,                 2.7296,                 2.5389,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.9732,                 2.5245,                 2.5907,                 0.4438,                0.39998,                0.42481,                0.24719,                 1.8903,                  2.991,                   2.65,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.9735,                  2.434,                 2.5333,                0.31632,                 0.3125,                0.36942,                0.17986,                 1.8027,                 2.8845,                 2.5944,              0.0016337,              0.0016337,              0.0016337
                     39,                  2.007,                 2.4466,                 2.5487,                0.20402,                 0.4375,                0.27268,                0.15041,                 1.7621,                  2.683,                 2.5529,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.9253,                 2.5404,                 2.5211,                0.30801,                  0.375,                0.24951,                0.10156,                 1.9451,                 3.4028,                 2.7166,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.0295,                 2.4827,                 2.5834,                0.29129,                   0.25,                0.22428,                0.09461,                 2.0883,                  3.416,                 2.8384,               0.001604,               0.001604,               0.001604
                     42,                 1.9546,                 2.4049,                 2.6174,                0.33525,                  0.125,                0.11558,                0.05275,                 2.0206,                 3.9525,                 2.8004,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.0327,                  2.422,                 2.5742,                0.29531,                 0.4375,                0.35989,                0.17485,                 1.8478,                 2.5294,                 2.6058,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.8343,                 2.3399,                 2.4689,                0.32251,                  0.375,                0.35923,                0.16853,                 1.7001,                 2.4188,                 2.5993,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.7795,                 2.1931,                 2.4407,                0.41432,                 0.4375,                0.40069,                0.17708,                 1.6226,                 2.4579,                 2.4576,              0.0015644,              0.0015644,              0.0015644
                     46,                   1.95,                 2.1945,                 2.5925,                0.41437,                 0.3125,                0.37129,                0.16025,                 1.8178,                 2.9241,                 2.5087,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.9249,                 2.3265,                 2.4933,                0.46893,                 0.4375,                0.45051,                0.21469,                 1.7355,                 2.3003,                 2.5307,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.9714,                 2.4054,                 2.5408,                0.50429,                  0.375,                0.34701,                0.16888,                 1.8383,                 2.7648,                  2.603,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.7954,                 2.0765,                 2.3752,                0.41759,                    0.5,                0.39022,                0.19972,                 1.7444,                 2.4282,                 2.5023,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.8245,                 2.0954,                 2.4136,                0.39359,                 0.8125,                0.50693,                0.22526,                 1.6433,                 3.1736,                 2.4666,              0.0015149,              0.0015149,              0.0015149
                     51,                  1.813,                 2.1361,                 2.4095,                0.31417,                 0.4375,                0.34135,                0.15052,                 1.9587,                 2.5425,                 2.7399,               0.001505,               0.001505,               0.001505
                     52,                 1.8541,                 2.2682,                 2.4569,                0.26276,                  0.375,                0.34994,                0.16321,                 1.9303,                 2.2363,                 2.5826,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.7631,                 2.1019,                 2.3826,                 0.3287,                 0.4375,                0.44258,                0.21866,                 1.8431,                 2.1921,                 2.4846,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.7401,                 2.2779,                 2.4048,                0.30566,                 0.3125,                0.26559,                0.12385,                 1.8502,                 2.8962,                 2.5195,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.7482,                  2.077,                 2.3486,                0.31013,                    0.5,                0.29928,                0.13339,                 1.8205,                 2.9995,                 2.5048,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.7274,                 2.2261,                 2.3293,                0.43776,                 0.3125,                0.37292,                0.20099,                    1.9,                 2.4958,                  2.597,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.7628,                  2.172,                 2.3341,                0.52534,                 0.4375,                 0.4409,                0.21519,                 1.8223,                 2.7545,                 2.5234,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.7868,                 2.2044,                 2.3366,                0.30614,                   0.25,                0.17446,                0.09403,                 1.7584,                 3.5371,                 2.4436,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.7388,                 2.0407,                 2.2795,                0.38486,                 0.4375,                0.43717,                0.23821,                 1.8624,                  2.419,                 2.5775,              0.0014258,              0.0014258,              0.0014258
                     60,                  1.615,                 2.1456,                 2.2775,                0.38182,                 0.3125,                0.41087,                0.23623,                 1.8198,                 2.3173,                 2.5266,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.6237,                 2.0074,                  2.255,                0.50062,                0.37601,                0.38582,                0.20334,                 1.7969,                 2.3969,                 2.4588,               0.001406,               0.001406,               0.001406
                     62,                 1.6406,                 2.0253,                 2.2407,                0.38962,                 0.4375,                0.49095,                0.25529,                 1.7064,                 2.3117,                 2.4267,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.7029,                 2.0135,                 2.2826,                0.67581,                 0.3125,                0.44182,                 0.2391,                 1.7356,                 2.2848,                 2.4181,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.6586,                 1.9923,                 2.2897,                0.44186,                  0.375,                 0.3644,                0.20756,                 1.7059,                 2.6984,                  2.403,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.6602,                 2.0238,                 2.3026,                0.50214,                0.37847,                 0.5057,                0.26739,                 1.6563,                 2.4425,                 2.4064,              0.0013664,              0.0013664,              0.0013664
                     66,                  1.594,                  1.895,                 2.2099,                0.55009,                    0.5,                0.49523,                  0.259,                  1.739,                 2.2951,                 2.4864,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.5988,                 1.8795,                 2.1892,                0.59142,                  0.375,                0.47417,                0.23353,                 1.7595,                 2.4533,                 2.4883,              0.0013466,              0.0013466,              0.0013466
