                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5915,                 6.9538,                 1.9138,                0.00169,                    0.5,                0.00141,                0.00034,                 3.0808,                 112.16,                 3.3271,             0.00064762,             0.00064762,             0.00064762
                      2,                 2.4553,                 5.7488,                 2.7444,                0.00323,                  0.125,                0.00325,                0.00071,                    nan,                    nan,                    nan,              0.0013078,              0.0013078,              0.0013078
                      3,                 2.7458,                 3.9911,                 2.8572,                0.00165,                 0.4375,                0.00156,                0.00066,                    nan,                    nan,                    nan,              0.0019613,              0.0019613,              0.0019613
                      4,                 2.7312,                  3.929,                 2.7608,                0.00165,                 0.4375,                0.00156,                0.00066,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.6407,                 3.7908,                  2.787,                0.00165,                 0.4375,                0.00156,                0.00066,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.6145,                 3.6798,                 2.9003,                0.00165,                 0.4375,                0.00156,                0.00066,                    nan,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.5658,                 3.6862,                 2.8917,                0.00165,                 0.4375,                0.00156,                0.00066,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.4597,                 3.6866,                 2.7787,                0.00165,                 0.4375,                0.00156,                0.00066,                    nan,                    nan,                    nan,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.3957,                 3.4883,                 2.7004,                0.00165,                 0.4375,                0.00156,                0.00066,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.2905,                 3.3956,                 2.6368,                 0.0003,                 0.0625,                0.00021,                  4e-05,                 3.8088,                 6.2883,                 4.8685,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.3247,                 3.2917,                 2.6565,                 0.0003,                 0.0625,                0.00021,                  4e-05,                 3.7274,                 6.8299,                 4.1165,               0.001901,               0.001901,               0.001901
                     12,                 2.3718,                 3.2292,                  2.666,                0.00194,                    0.5,                0.01324,                0.00319,                 2.9682,                 4.1304,                 3.7288,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.2054,                 3.0181,                 2.5156,                0.00881,                 0.5625,                0.02706,                0.00961,                  2.499,                 4.0909,                 2.9831,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.2426,                 3.1319,                 2.5766,                0.03688,                  0.625,                0.06054,                0.01902,                  2.256,                 3.8864,                 2.6632,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.1639,                 3.0328,                 2.5123,                0.01298,                 0.3125,                0.03073,                 0.0131,                 3.1931,                 3.8441,                 3.6719,              0.0018614,              0.0018614,              0.0018614
