                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2376,                 1.3132,                 2.0566,                0.94268,                0.57895,                 0.7147,                 0.4459,                 2.0375,                 1.6607,                 3.2245,               0.067897,             0.00065517,             0.00065517
                      2,                 1.3993,                 1.4869,                 2.1601,                0.78682,                0.58304,                0.64901,                0.44208,                 1.2801,                 1.4065,                 2.1073,                0.03523,              0.0013217,              0.0013217
                      3,                  1.472,                 1.4881,                  2.198,                0.53507,                0.47368,                0.55081,                0.32613,                 1.6384,                 1.7781,                 2.5611,              0.0025625,              0.0019877,              0.0019877
                      4,                 1.3977,                 1.4676,                  2.071,                0.97718,                0.47368,                0.61445,                0.39729,                  1.533,                 1.7613,                 2.3805,              0.0019983,              0.0019983,              0.0019983
                      5,                 1.3928,                 1.4305,                 2.1522,                0.75655,                0.52632,                0.55922,                0.36653,                 1.5663,                 1.5499,                  2.486,              0.0019969,              0.0019969,              0.0019969
                      6,                 1.5239,                 1.4466,                 2.2346,                0.94522,                0.73684,                0.74299,                0.46494,                 1.3377,                 1.5494,                 2.1754,              0.0019952,              0.0019952,              0.0019952
                      7,                 1.4351,                 1.3791,                 2.1828,                0.69528,                0.63158,                0.66377,                0.46085,                 1.3612,                 1.4278,                 2.2147,              0.0019931,              0.0019931,              0.0019931
                      8,                 1.3457,                 1.3353,                 1.9673,                0.76314,                0.57895,                0.59745,                0.39241,                 1.5908,                 1.6979,                 2.3918,              0.0019907,              0.0019907,              0.0019907
                      9,                 1.3189,                 1.2686,                 2.0539,                      1,                0.51056,                0.59807,                0.37601,                 1.6169,                  1.625,                 2.4141,              0.0019878,              0.0019878,              0.0019878
                     10,                 1.3646,                 1.2602,                 2.1085,                0.80944,                0.36842,                0.50549,                0.32794,                 1.7373,                 1.6307,                 2.6078,              0.0019846,              0.0019846,              0.0019846
                     11,                 1.3347,                  1.427,                  2.018,                 0.6676,                0.57895,                0.57544,                0.40594,                 1.6146,                 1.7542,                 2.5714,               0.001981,               0.001981,               0.001981
                     12,                 1.2232,                 1.3275,                 1.9803,                 0.8014,                0.63158,                0.62475,                0.41141,                 1.4061,                  1.541,                 2.2806,               0.001977,               0.001977,               0.001977
                     13,                 1.2531,                  1.198,                 1.9309,                0.96708,                0.63158,                0.69522,                 0.4517,                 1.3102,                 1.2898,                 2.1776,              0.0019726,              0.0019726,              0.0019726
                     14,                 1.1452,                 1.0504,                 1.8839,                0.92684,                0.66758,                0.71019,                0.48365,                 1.5865,                 1.4838,                 2.4317,              0.0019679,              0.0019679,              0.0019679
                     15,                 1.3362,                 1.2761,                 2.0134,                0.97033,                0.63158,                  0.704,                0.48963,                 1.5567,                 1.2598,                 2.4104,              0.0019628,              0.0019628,              0.0019628
                     16,                 1.3277,                 1.2147,                 2.0739,                0.79491,                0.68421,                0.72995,                0.47797,                 1.4685,                 1.3308,                 2.3644,              0.0019574,              0.0019574,              0.0019574
                     17,                 1.3183,                 1.1916,                 2.0692,                 0.9229,                0.63015,                0.70605,                0.46674,                 1.4927,                 1.4513,                 2.3526,              0.0019515,              0.0019515,              0.0019515
                     18,                 1.2744,                 1.0708,                 2.0253,                0.86395,                0.66922,                0.68952,                0.47505,                 1.4038,                 1.3813,                 2.3628,              0.0019454,              0.0019454,              0.0019454
                     19,                 1.2105,                 1.1139,                  1.953,                0.84794,                0.58751,                0.66174,                0.48318,                 1.3055,                 1.4089,                 2.1437,              0.0019388,              0.0019388,              0.0019388
                     20,                 1.2963,                 1.1213,                 1.9532,                0.95182,                0.57895,                0.69779,                 0.5008,                 1.3366,                  1.262,                 2.1082,              0.0019319,              0.0019319,              0.0019319
                     21,                 1.2131,                 1.0705,                 1.9825,                0.72199,                0.52632,                0.60797,                0.41369,                 1.6973,                 1.6832,                 2.4722,              0.0019246,              0.0019246,              0.0019246
                     22,                 1.2385,                 1.1196,                 2.0449,                0.91118,                0.63158,                 0.7437,                0.51488,                 1.4533,                 1.3761,                 2.2628,               0.001917,               0.001917,               0.001917
                     23,                 1.2093,                 1.0136,                 1.9414,                0.87312,                0.68421,                0.72583,                0.45115,                 1.7497,                 1.3897,                 2.4164,              0.0019091,              0.0019091,              0.0019091
                     24,                 1.1814,                0.97439,                 1.9403,                0.91371,                0.63158,                0.68679,                0.52174,                 1.3951,                 1.2424,                 2.3347,              0.0019008,              0.0019008,              0.0019008
                     25,                 1.1181,                0.97316,                 1.9018,                0.91132,                0.63158,                0.74064,                 0.4918,                 1.6138,                 1.1131,                 2.5394,              0.0018921,              0.0018921,              0.0018921
                     26,                 1.1552,                  1.008,                 1.8976,                0.89638,                0.63158,                0.75248,                0.48685,                 1.6654,                 1.3694,                 2.6959,              0.0018831,              0.0018831,              0.0018831
                     27,                 1.1313,                 1.0258,                 1.8837,                0.80165,                0.73684,                0.74256,                 0.5025,                 1.4998,                 1.2234,                  2.395,              0.0018738,              0.0018738,              0.0018738
                     28,                 1.1627,                 0.9542,                 1.8682,                0.81923,                0.57895,                0.69417,                0.47067,                 1.3906,                 1.3115,                 2.2099,              0.0018641,              0.0018641,              0.0018641
                     29,                 1.0797,                0.95908,                 1.8274,                 0.8109,                0.52632,                0.68112,                0.44152,                 1.5258,                 1.4144,                 2.3372,              0.0018541,              0.0018541,              0.0018541
                     30,                 1.1198,                0.88735,                 1.8096,                0.98937,                0.68421,                0.78244,                0.51858,                 1.3615,                 1.0965,                 2.1609,              0.0018438,              0.0018438,              0.0018438
                     31,                 1.1492,                 1.0057,                 1.8486,                      1,                0.61805,                0.74663,                 0.4963,                 1.3193,                 1.1257,                 2.1858,              0.0018332,              0.0018332,              0.0018332
                     32,                 1.1634,                 1.0235,                 1.9305,                0.98152,                0.52632,                0.65528,                 0.4596,                 1.4153,                 1.2676,                 2.3429,              0.0018222,              0.0018222,              0.0018222
                     33,                 1.0981,                0.92072,                 1.8227,                0.92758,                0.67473,                0.75302,                0.53766,                 1.2312,                 1.0776,                 2.1105,              0.0018109,              0.0018109,              0.0018109
                     34,                 1.0896,                0.91123,                 1.8027,                0.92716,                0.67069,                0.75913,                0.54357,                 1.2572,                 1.1475,                 2.1427,              0.0017993,              0.0017993,              0.0017993
                     35,                    1.1,                0.91511,                  1.831,                 0.9331,                0.68421,                0.78787,                0.51611,                 1.5121,                 1.3678,                 2.2525,              0.0017875,              0.0017875,              0.0017875
                     36,                 1.1271,                0.90109,                 1.8708,                 0.9663,                0.68421,                0.75648,                0.54394,                 1.3737,                 1.2424,                 2.3437,              0.0017753,              0.0017753,              0.0017753
                     37,                 1.0864,                0.90355,                 1.8063,                 0.7897,                0.68421,                 0.7453,                0.52853,                 1.2194,                 1.1865,                  1.987,              0.0017628,              0.0017628,              0.0017628
                     38,                 1.1906,                0.91432,                 1.9316,                0.82538,                0.57895,                0.61965,                0.44572,                   1.42,                 1.3828,                 2.1445,                0.00175,                0.00175,                0.00175
                     39,                 1.1251,                0.89358,                 1.8588,                0.97518,                0.63158,                0.75616,                0.52339,                 1.2903,                 1.2274,                 2.0559,               0.001737,               0.001737,               0.001737
