                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04943,                0.10161,                0.07157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.067466,             0.00066396,             0.00066396
                      2,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034799,              0.0013305,              0.0013305
                      3,                0.81323,                 1.2022,                 1.2141,                0.74932,                0.15747,                0.15289,                0.09357,                 2.4135,                 2.4756,                 3.5191,               0.002132,              0.0019965,              0.0019965
                      4,                 2.2189,                  2.879,                 2.5548,                0.74932,                0.15747,                0.15289,                0.09357,                 4.3352,                    inf,                 32.982,              0.0019983,              0.0019983,              0.0019983
                      5,                 1.7791,                  2.819,                 2.2547,                0.74932,                0.15747,                0.15289,                0.09357,                 2.3766,                 3.9681,                 3.8089,              0.0019969,              0.0019969,              0.0019969
                      6,                 1.6407,                 2.6332,                 2.1366,                0.01299,                0.10526,                0.01792,                0.00705,                  3.056,                 4.3108,                 4.3821,              0.0019952,              0.0019952,              0.0019952
                      7,                 1.6144,                  2.604,                 2.1346,                0.00089,                0.31579,                 0.0006,                0.00029,                 2.7449,                 22.188,                 3.8262,              0.0019931,              0.0019931,              0.0019931
                      8,                   1.57,                 2.6928,                 2.0466,                0.09459,                0.36842,                0.08918,                0.03531,                 2.4959,                 3.9245,                 3.7162,              0.0019907,              0.0019907,              0.0019907
                      9,                 1.5597,                  2.572,                 2.0389,                0.02118,                0.73684,                0.12344,                0.04449,                  2.595,                 3.5965,                 3.3922,              0.0019878,              0.0019878,              0.0019878
                     10,                 1.5145,                 2.4676,                 1.9687,                0.21896,                0.21053,                0.18314,                0.05897,                 2.5098,                 3.0862,                 3.4855,              0.0019846,              0.0019846,              0.0019846
                     11,                 1.4852,                 2.4069,                 2.0114,                0.17265,                0.26316,                0.13619,                0.05191,                 2.3766,                 3.4853,                 3.3505,               0.001981,               0.001981,               0.001981
                     12,                 1.4873,                 2.4298,                 1.9087,                 0.2405,                0.21053,                0.18693,                0.05755,                  2.536,                 2.9322,                 3.2957,               0.001977,               0.001977,               0.001977
                     13,                 1.4604,                 2.3851,                 1.9346,                0.29399,                0.21053,                0.23368,                0.10057,                 2.4934,                 2.8327,                 3.2455,              0.0019726,              0.0019726,              0.0019726
                     14,                 1.4634,                 2.3187,                 1.9086,                0.39912,                0.21053,                0.22178,                0.08699,                 2.4688,                 2.5783,                 3.3395,              0.0019679,              0.0019679,              0.0019679
                     15,                  1.473,                 2.2369,                 1.9629,                0.44419,                0.26316,                0.25885,                0.10824,                 2.4765,                 2.8193,                  3.463,              0.0019628,              0.0019628,              0.0019628
                     16,                 1.4567,                 2.2006,                 1.9592,                0.54604,                0.21053,                0.23475,                0.09955,                 2.3536,                 2.6373,                 3.2694,              0.0019574,              0.0019574,              0.0019574
                     17,                 1.4001,                 2.1309,                 1.8665,                0.58411,                0.26316,                0.27409,                0.12631,                 2.3459,                 2.4122,                 3.2615,              0.0019515,              0.0019515,              0.0019515
                     18,                 1.4516,                 2.1301,                 1.9318,                0.42595,                0.26316,                0.24838,                0.09804,                 2.4427,                 2.4194,                 3.3356,              0.0019454,              0.0019454,              0.0019454
                     19,                 1.4136,                 2.0832,                 1.9015,                0.67466,                0.21936,                0.29181,                0.14465,                 2.4053,                 2.2972,                 3.1259,              0.0019388,              0.0019388,              0.0019388
                     20,                 1.4743,                 2.0402,                 1.9227,                0.29815,                0.40291,                0.28998,                 0.1413,                 2.2888,                 2.6692,                  3.436,              0.0019319,              0.0019319,              0.0019319
                     21,                 1.4085,                  1.979,                 1.8955,                0.32351,                 0.2523,                 0.3196,                0.16991,                 2.2295,                 2.5895,                 3.3282,              0.0019246,              0.0019246,              0.0019246
                     22,                 1.4077,                 2.0863,                 1.8666,                0.41444,                0.31579,                0.25246,                0.11618,                 2.3623,                 2.2981,                 3.1894,               0.001917,               0.001917,               0.001917
                     23,                 1.3768,                 2.0701,                  1.782,                0.37937,                0.26316,                0.30531,                0.16988,                 2.2867,                 2.1977,                 3.1565,              0.0019091,              0.0019091,              0.0019091
                     24,                 1.3773,                 1.9976,                 1.8006,                0.46933,                0.26316,                0.29019,                0.12567,                 2.3859,                 2.4072,                 3.1828,              0.0019008,              0.0019008,              0.0019008
                     25,                 1.4042,                 1.9779,                 1.8757,                0.49473,                0.31579,                0.30462,                0.13956,                 2.3742,                 2.1853,                 3.1004,              0.0018921,              0.0018921,              0.0018921
                     26,                 1.3617,                 1.9426,                 1.7736,                0.57397,                0.31579,                0.27691,                0.14051,                 2.2515,                 2.3003,                 3.0185,              0.0018831,              0.0018831,              0.0018831
                     27,                 1.3558,                 2.1516,                 1.8073,                0.46704,                0.36842,                0.40424,                0.18619,                 2.2415,                 2.1464,                 3.0952,              0.0018738,              0.0018738,              0.0018738
                     28,                 1.3833,                 1.7826,                 1.8249,                0.42458,                0.26316,                0.29842,                0.13176,                 2.2904,                 2.1616,                 3.0669,              0.0018641,              0.0018641,              0.0018641
                     29,                 1.3841,                 1.9817,                 1.8006,                0.48249,                0.31579,                0.37127,                0.19922,                 2.2404,                 2.0491,                 3.0109,              0.0018541,              0.0018541,              0.0018541
                     30,                 1.3544,                 1.7605,                 1.8372,                0.49728,                0.47368,                0.46201,                0.19324,                 2.3488,                 1.7921,                 2.9527,              0.0018438,              0.0018438,              0.0018438
