                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7736,                 14.372,                 2.1026,                0.00072,                  0.125,                0.00028,                 0.0001,                 3.2231,                 1098.6,                 6.4293,               0.068267,             0.00064762,             0.00064762
                      2,                 2.8788,                 7.0883,                 3.1433,                0.00072,                  0.125,                0.00028,                 0.0001,                    nan,                    nan,                    nan,                 0.0356,              0.0013142,              0.0013142
                      3,                 2.8071,                 4.2751,                 3.0467,                0.00072,                  0.125,                0.00028,                 0.0001,                    nan,                    nan,                    nan,              0.0029328,              0.0019805,              0.0019805
                      4,                 2.8083,                 4.2607,                 3.0238,                0.00072,                  0.125,                0.00028,                 0.0001,                    nan,                    nan,                    nan,              0.0019989,              0.0019989,              0.0019989
                      5,                 2.6634,                 4.0425,                  2.896,                0.00072,                  0.125,                0.00028,                 0.0001,                      0,                      0,                      0,               0.001998,               0.001998,               0.001998
                      6,                 2.7553,                 7.3996,                 3.1234,                0.00127,                 0.3125,                0.00204,                0.00081,                 2.7229,                 4.7904,                  8.591,              0.0019969,              0.0019969,              0.0019969
                      7,                 2.5929,                 3.8977,                  2.922,                0.00124,                  0.125,                0.00074,                0.00015,                 4.2033,                 4.9865,                 7.8871,              0.0019956,              0.0019956,              0.0019956
                      8,                 2.5455,                 3.8079,                 2.9015,                0.00124,                  0.125,                0.00074,                0.00015,                 4.4433,                 5.8722,                 14.918,               0.001994,               0.001994,               0.001994
                      9,                 2.4803,                 3.7467,                 2.9525,                0.00128,                  0.375,                0.00147,                0.00046,                 3.1385,                 5.2805,                 7.0308,              0.0019922,              0.0019922,              0.0019922
                     10,                 2.4117,                 3.6036,                 2.9491,                0.00128,                  0.375,                0.00147,                0.00046,                 5.0257,                  5.339,                 8.5861,              0.0019901,              0.0019901,              0.0019901
                     11,                 2.3684,                 3.5386,                 2.9048,                0.00128,                  0.375,                0.00147,                0.00046,                 1.5799,                 2.6397,                 1.5943,              0.0019878,              0.0019878,              0.0019878
                     12,                 2.3449,                 3.4574,                 2.8735,                0.00299,                  0.875,                0.04727,                0.00707,                 2.3379,                 3.9646,                 2.9535,              0.0019853,              0.0019853,              0.0019853
                     13,                 2.3343,                 3.2445,                 2.9058,                0.01553,                    0.5,                0.17428,                0.04773,                 2.0712,                 3.7221,                 2.6887,              0.0019825,              0.0019825,              0.0019825
                     14,                 2.2718,                 3.1763,                 2.8625,                0.12342,                 0.1875,                0.11987,                0.07524,                 2.1993,                 3.6698,                 2.7931,              0.0019794,              0.0019794,              0.0019794
                     15,                 2.2496,                  3.065,                 2.9153,                0.17197,                0.09269,                0.09605,                0.06816,                 2.1846,                 4.1309,                 2.8103,              0.0019762,              0.0019762,              0.0019762
                     16,                  2.213,                 3.0046,                 2.8078,                0.27203,                 0.0625,                0.08085,                0.04194,                 2.4945,                 4.2018,                 3.2043,              0.0019726,              0.0019726,              0.0019726
                     17,                 2.2242,                 3.2077,                 2.8809,                0.08349,                  0.375,                0.10517,                0.02977,                 2.0886,                 4.0327,                  2.932,              0.0019689,              0.0019689,              0.0019689
